Project,Project-URL,Filename,License,Attribution,Image-URI,MIME type,Event
"Wie geht's dir, Europa?",https://codingdavinci.de/de/projekte/wie-gehts-dir-europa,wie_gehts_dir_europa.png,,,/sites/default/files/2019-07/wie_gehts_dir_europa.png,image/png,Süd 2019
Demokratie erLeben,https://codingdavinci.de/de/projekte/demokratie-erleben,demokratie_erleben.jpg,CC BY 4.0,Gerd Müller,/sites/default/files/2019-12/demokratie_erleben.jpg,image/jpeg,Westfalen-Ruhrgebiet 2019
VisualizingDaVinci,https://codingdavinci.de/de/projekte/visualizingdavinci,visualizing_davinci.jpg,CC0 1.0,,/sites/default/files/2019-12/visualizing_davinci.jpg,image/jpeg,Westfalen-Ruhrgebiet 2019
MadMemory,https://codingdavinci.de/de/projekte/madmemory,madmemory.jpg,CC0 1.0,,/sites/default/files/2019-12/madmemory.jpg,image/jpeg,Westfalen-Ruhrgebiet 2019
Mein Stadtarchiv,https://codingdavinci.de/de/projekte/mein-stadtarchiv,mein_stadtarchiv.jpg,CC0 1.0,,/sites/default/files/2019-12/mein_stadtarchiv.jpg,image/jpeg,Westfalen-Ruhrgebiet 2019
[Blomberg] VARsetzen | VR-Teil,https://codingdavinci.de/de/projekte/blomberg-varsetzen-vr-teil,blombergVARsetzen_VR.jpg,CC BY 3.0,Die Weltenweberei,/sites/default/files/2019-12/blombergVARsetzen_VR.jpg,image/jpeg,Westfalen-Ruhrgebiet 2019
[Blomberg] VARsetzen | AR-Teil,https://codingdavinci.de/de/projekte/blomberg-varsetzen-ar-teil,blombergVARsetzen_AR.jpg,CC BY 4.0,Bok und Gärtner,/sites/default/files/2019-12/blombergVARsetzen_AR.jpg,image/jpeg,Westfalen-Ruhrgebiet 2019
webARei,https://codingdavinci.de/de/projekte/webarei,webARei.jpg,CC0 1.0,,/sites/default/files/2019-12/webARei.jpg,image/jpeg,Westfalen-Ruhrgebiet 2019
Sounds without meaning,https://codingdavinci.de/de/projekte/sounds-without-meaning,sounds_without_meaning.jpg,CC BY 4.0,Leander Seige,/sites/default/files/2019-12/sounds_without_meaning.jpg,image/jpeg,Westfalen-Ruhrgebiet 2019
Sounds without meaning,https://codingdavinci.de/de/projekte/sounds-without-meaning,sounds_without_meaning.jpg,CC BY 4.0,Leander Seige,/sites/default/files/2019-12/sounds_without_meaning.jpg,image/jpeg,Westfalen-Ruhrgebiet 2019
Sounds without meaning,https://codingdavinci.de/en/projekte/sounds-without-meaning,sounds_without_meaning.jpg,CC BY 4.0,Leander Seige,/sites/default/files/2019-12/sounds_without_meaning.jpg,image/jpeg,Westfalen-Ruhrgebiet 2019
